brand,model,year,mileage,engine,engine_size,transmission,automatic_transmission,fuel_type,drivetrain,min_mpg,max_mpg,turbo,adaptive_cruise_control,navigation_system,power_liftgate,backup_camera,keyless_start,remote_start,sunroof/moonroof,automatic_emergency_braking,stability_control,leather_seats,memory_seat,apple_car_play/android_auto,bluetooth,usb_port,heated_seats,price,avg_mpg,car_age,reliability_rating
Mitsubishi,Endeavor XLS,2005,138437,3.8L V6 24V MPFI SOHC,3.8,4-Speed Automatic,1,Gasoline,Four-wheel Drive,23,29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5500,26,20,
Volkswagen,Golf GTI 2.0T S 4-Door,2018,43568,2.0L I4 16V GDI DOHC Turbo,2,6-Speed Manual,0,Gasoline,Front-wheel Drive,20.92617980490377,27.91642499340891,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,21350,24.42130239915634,7,
Audi,A7 3.0T Premium Plus,2018,31702,3.0L V6 24V GDI DOHC Supercharged,3,8-Speed Automatic,1,Gasoline,Four-wheel Drive,20,29,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,34810,24.5,7,
Volvo,S60 B5 Momentum,2022,12943,2.0L I4 16V GDI DOHC Turbo,2,8-Speed Automatic,1,Gasoline,Front-wheel Drive,22,30,1,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,34523,26,3,77
Nissan,Pathfinder SV,2017,62133,3.5L V6 24V GDI DOHC,3.5,Automatic CVT,1,Gasoline,Four-wheel Drive,20.92617980490377,27.91642499340891,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,18998,24.42130239915634,8,73
Land,Rover Defender 110 S,2022,14929,2.0L I4 16V GDI DOHC Turbo,2,8-Speed Automatic,1,Gasoline,Four-wheel Drive,18,23,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,73998,20.5,3,
Toyota,Avalon Limited,2018,29686,3.5L V6 24V MPFI DOHC,3.5,6-Speed Automatic,1,Gasoline,Front-wheel Drive,21,30,0,1,1,0,1,0,0,1,0,1,1,1,0,1,0,1,28638,25.5,7,89
Ford,Edge SEL,2020,31556,2.0L I4 16V GDI DOHC Turbo,2,8-Speed Automatic,1,Gasoline,Four-wheel Drive,21,28,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,32750,24.5,5,85
MINI,E Countryman Cooper S ALL4,2019,7317,1.5L I3 12V GDI DOHC Turbo Hybrid,1.5,6-Speed Automatic,1,Hybrid,Four-wheel Drive,25,30,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,32921,27.5,6,
Hyundai,Elantra SE,2019,68742,2.0L I4 16V MPFI DOHC,2,6-Speed Automatic,1,Gasoline,Front-wheel Drive,20,26,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,15999,23,6,86
