brand,model,year,mileage,engine,engine_size,transmission,automatic_transmission,fuel_type,drivetrain,min_mpg,max_mpg,turbo,adaptive_cruise_control,navigation_system,power_liftgate,backup_camera,keyless_start,remote_start,sunroof/moonroof,automatic_emergency_braking,stability_control,leather_seats,memory_seat,apple_car_play/android_auto,bluetooth,usb_port,heated_seats,price,avg_mpg,car_age,reliability_rating
Chevrolet,Tahoe LTZ,2015,59992,5.3L V8 16V GDI OHV,5.3,6-Speed Automatic,1,Gasoline,Rear-wheel Drive,16,23,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,33900,19.5,10,71
Land,Rover Range Rover Sport HST MHEV,2019,60044,3.0L I6 24V GDI DOHC,3,8-Speed Automatic,1,Gasoline,Four-wheel Drive,15,20,0,0,1,1,0,1,1,1,0,1,1,1,0,1,0,1,52995,17.5,6,
Kia,K900 Luxury 3.8L,2016,46603,3.8L V6 24V GDI DOHC,3.8,8-Speed Automatic,1,Gasoline,Rear-wheel Drive,20.92617980490377,27.91642499340891,0,0,1,0,1,0,1,1,0,1,1,1,0,1,0,1,21398,24.42130239915634,9,
MINI,Countryman Cooper S ALL4,2014,75653,"1.6L I-4 gasoline direct injection, DOHC, variable valve control",1.6,Automatic,1,Gasoline,Four-wheel Drive,23,31,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,14996,27,11,
Mazda,CX-50 2.5 S Premium Plus Package,2023,9890,2.5L I4 16V GDI DOHC,2.5,6-Speed Automatic,1,Gasoline,Four-wheel Drive,24,32,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,35369,28,2,70
Kia,K5 GT-Line,2022,40985,1.6L I4 16V GDI DOHC Turbo,1.6,8-Speed Automatic,1,Gasoline,Front-wheel Drive,27,37,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,33900,32,3,84
Jaguar,F-TYPE S,2017,53198,3.0L V6 24V GDI DOHC Supercharged,3,8-Speed Automatic,1,Gasoline,Four-wheel Drive,16,21,0,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,42888,18.5,8,
Mazda,CX-50 2.5 Turbo Premium Package,2023,9016,2.5L I4 16V GDI DOHC Turbo,2.5,6-Speed Automatic,1,Gasoline,Four-wheel Drive,20,26,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,42491,23,2,70
Hyundai,Kona N Base,2023,1572,2.0L I4 16V GDI DOHC Turbo,2,8-Speed Automatic,1,Gasoline,Front-wheel Drive,28,38,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,30500,33,2,82
Cadillac,ATS-V Base,2018,54733,3.6L V6 24V GDI DOHC Twin Turbo,3.6,6-Speed Automatic,1,Gasoline,Rear-wheel Drive,14,21,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,39995,17.5,7,
Hyundai,Veloster Turbo,2016,88680,1.6L I4 16V GDI DOHC Turbo,1.6,7-Speed Automatic with Auto-Shift,1,Gasoline,Front-wheel Drive,16,25,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,9995,20.5,9,75
Jaguar,XF Base,2012,76082,5.0L V8 32V GDI DOHC,5,6-Speed Automatic,1,Gasoline,Rear-wheel Drive,24,34,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,14999,29,13,
Ford,Bronco Outer Banks Advanced,2022,330,2.7L V6 24V PDI DOHC Twin Turbo,2.7,10-Speed Automatic,1,Gasoline,Four-wheel Drive,20.92617980490377,27.91642499340891,1,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,58998,24.42130239915634,3,77
Nissan,Armada Platinum,2011,131312,5.6L V8 32V MPFI DOHC,5.6,5-Speed Automatic,1,Gasoline,Four-wheel Drive,20.92617980490377,27.91642499340891,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0,0,8995,24.42130239915634,14,67
Toyota,Corolla LE,2022,27282,1.8L I4 16V MPFI DOHC,1.8,Automatic CVT,1,Gasoline,Front-wheel Drive,30,38,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,23404,34,3,85
Hyundai,Tucson Value,2019,60559,2.0L I4 16V GDI DOHC,2,6-Speed Automatic,1,Gasoline,Four-wheel Drive,25,28,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,21998,26.5,6,87
Jaguar,XE 25t Prestige,2019,27918,2.0L I4 16V GDI DOHC Turbo,2,8-Speed Automatic,1,Gasoline,Four-wheel Drive,22,27,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1,29499,24.5,6,
Porsche,911 Carrera 4S,2022,7891,3.0L H6 24V GDI DOHC Twin Turbo,3,8-Speed Automatic with Auto-Shift,1,Gasoline,Four-wheel Drive,15,20,1,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,164878,17.5,3,85
Volkswagen,Golf 1.4T TSI,2021,40267,1.4L I4 16V GDI DOHC Turbo,1.4,8-Speed Automatic,1,Gasoline,Front-wheel Drive,25,32,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,25987,28.5,4,
MINI,Countryman Cooper,2020,60932,1.5L I3 12V GDI DOHC Turbo,1.5,7-Speed Automatic with Auto-Shift,1,Gasoline,Front-wheel Drive,29,39,1,0,0,0,1,1,0,1,1,1,1,0,0,1,1,1,22990,34,5,
Mercedes-Benz,AMG CLA 45 Base 4MATIC,2021,43662,2.0L I4 16V PDI DOHC Turbo,2,8-Speed Automatic with Auto-Shift,1,Gasoline,Four-wheel Drive,19,26,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,46488,22.5,4,
Audi,S7 4.0T Premium Plus,2018,48996,4.0L V8 32V GDI DOHC Twin Turbo,4,7-Speed Automatic with Auto-Shift,1,Gasoline,Four-wheel Drive,16,24,1,0,1,1,0,1,0,1,0,1,1,1,0,1,0,1,51900,20,7,
Land,Rover Range Rover 5.0L Supercharged,2015,52000,5.0L V8 32V GDI DOHC Supercharged,5,8-Speed Automatic,1,Gasoline,Four-wheel Drive,19,24,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,39997,21.5,10,
Maserati,Quattroporte S Q4,2018,31428,3.0L V6 24V GDI DOHC Twin Turbo,3,8-Speed Automatic,1,Gasoline,Four-wheel Drive,16,22,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,38500,19,7,
Toyota,Highlander XLE,2019,60835,3.5L V6 24V PDI DOHC,3.5,8-Speed Automatic,1,Gasoline,Front-wheel Drive,21,27,0,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,29750,24,6,80
Chevrolet,Colorado WT,2019,33893,3.6L V6 24V GDI DOHC,3.6,8-Speed Automatic,1,Gasoline,Four-wheel Drive,17,24,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,29000,20.5,6,78
Audi,Q3 40 Premium,2021,67506,2.0L I4 16V GDI DOHC Turbo,2,8-Speed Automatic,1,Gasoline,Four-wheel Drive,22,30,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,28587,26,4,76
Hyundai,Palisade Limited,2021,33699,3.8L V6 24V GDI DOHC,3.8,8-Speed Automatic,1,Gasoline,Four-wheel Drive,20.92617980490377,27.91642499340891,0,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,42299,24.42130239915634,4,73
Jeep,Wagoneer Series II,2023,2755,3.0L I6 24V GDI DOHC Twin Turbo,3,8-Speed Automatic,1,Gasoline,Four-wheel Drive,22,31,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,76900,26.5,2,
MINI,Clubman Cooper S ALL4,2018,80587,2.0L I4 16V GDI DOHC Turbo,2,8-Speed Automatic,1,Gasoline,Four-wheel Drive,27,34,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,22741,30.5,7,
Alfa,Romeo Stelvio Base,2020,50498,2.0L I4 16V GDI SOHC Turbo,2,8-Speed Automatic,1,Gasoline,Rear-wheel Drive,24,33,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,27250,28.5,5,
Alfa,Romeo Stelvio 4DR SUV AWD,2018,40500,Twin Turbo Premium Unleaded V-6 2.9 L/176,2.9,Automatic,1,Gasoline,Four-wheel Drive,22,28,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,47899,25,7,
Porsche,Panamera Turbo,2018,29781,4.0L V8 32V GDI DOHC Twin Turbo,4,8-Speed Automatic with Auto-Shift,1,Gasoline,Four-wheel Drive,16,23,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,85995,19.5,7,81
Nissan,Armada SL,2020,85527,5.6L V8 32V GDI DOHC,5.6,7-Speed Automatic,1,Gasoline,Rear-wheel Drive,21,28,0,1,1,1,0,0,1,0,0,1,1,1,0,1,0,1,28995,24.5,5,
Honda,Passport TrailSport,2022,29240,3.5L V6 24V GDI SOHC,3.5,9-Speed Automatic,1,Gasoline,Four-wheel Drive,19,24,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,40987,21.5,3,83
Ford,F-150 XLT,2021,24473,2.7L V6 24V PDI DOHC Twin Turbo,2.7,10-Speed Automatic,1,Gasoline,Four-wheel Drive,19,22,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,0,42441,20.5,4,71
Mazda,CX-50 2.5 S Preferred Plus Package,2023,4381,2.5L I4 16V GDI DOHC,2.5,6-Speed Automatic,1,Gasoline,Four-wheel Drive,25,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31275,29,2,70
Porsche,Cayenne Platinum Edition,2017,52210,3.6L V6 24V GDI DOHC,3.6,8-Speed Automatic,1,Gasoline,Four-wheel Drive,20.92617980490377,27.91642499340891,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,36900,24.42130239915634,8,80
Ford,Expedition Max Limited,2021,72603,3.5L V6 24V PDI DOHC Twin Turbo,3.5,10-Speed Automatic,1,Gasoline,Rear-wheel Drive,17,23,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,41278,20,4,
FIAT,500 Pop,2013,77311,"MultiAir 1.4L I-4 variable valve control, engine with 101HP",1.4,Automatic,1,Gasoline,Front-wheel Drive,27,34,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,13999,30.5,12,77
Lexus,RX 350L Premium,2018,45067,3.5L V6 24V MPFI DOHC,3.5,8-Speed Automatic,1,Gasoline,Four-wheel Drive,22,28,0,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,36997,25,7,86
MINI,Cooper S Base,2012,59117,1.6L I4 16V GDI DOHC Turbo,1.6,6-Speed Automatic,1,Gasoline,Front-wheel Drive,25,31,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,13500,28,13,
Nissan,Sentra SR,2013,94000,1.8L I4 16V MPFI DOHC,1.8,Automatic CVT,1,Gasoline,Front-wheel Drive,20,30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7500,25,12,75
Audi,RS 7 4.0T Performance Prestige,2017,23597,4.0L V8 32V GDI DOHC Twin Turbo,4,8-Speed Automatic,1,Gasoline,Four-wheel Drive,20.92617980490377,27.91642499340891,1,0,1,1,1,0,0,1,0,1,1,1,0,1,0,1,71889,24.42130239915634,8,
Land,Rover Defender 110 S,2023,1239,2.0L I4 16V GDI DOHC Turbo,2,Automatic,1,Gasoline,Four-wheel Drive,22,29,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,90996,25.5,2,
Honda,Accord LX-P,2012,147301,2.4L I4 16V MPFI DOHC,2.4,5-Speed Automatic,1,Gasoline,Front-wheel Drive,23,34,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,10487,28.5,13,86
Ford,Fiesta S,2019,257413,1.6L I4 16V MPFI DOHC,1.6,5-Speed Manual,0,Gasoline,Front-wheel Drive,27,35,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,5000,31,6,
Nissan,Rogue SL,2019,41604,2.5L I4 16V MPFI DOHC,2.5,Automatic CVT,1,Gasoline,Four-wheel Drive,15,21,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,27693,18,6,78
Cadillac,ATS 2.0L Turbo,2013,48442,2.0L I4 16V GDI DOHC Turbo,2,6-Speed Automatic,1,Gasoline,Four-wheel Drive,18,26,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,16530,22,12,74
Nissan,Frontier S,2022,15555,3.8L V6 24V GDI DOHC,3.8,9-Speed Automatic,1,Gasoline,Four-wheel Drive,19,26,0,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,34790,22.5,3,83
Maserati,Ghibli NAV SUNROOF HTD STS BLIND SPOT 19 WLS,2021,8995,3.0L V6 24V GDI DOHC Twin Turbo,3,8-Speed Automatic,1,Gasoline,Rear-wheel Drive,16,24,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,55880,20,4,
Kia,Stinger Base,2018,54117,2.0L I4 16V GDI DOHC Turbo,2,8-Speed Automatic,1,Gasoline,Rear-wheel Drive,26,39,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,26995,32.5,7,70
Mitsubishi,Outlander LE,2020,34443,2.4L I4 16V MPFI SOHC,2.4,Automatic CVT,1,Gasoline,Front-wheel Drive,23,29,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,22477,26,5,
Volkswagen,Atlas 3.6 V6 SEL Premium R-Line,2021,16222,3.6L V6 24V GDI DOHC,3.6,8-Speed Automatic,1,Gasoline,Four-wheel Drive,18,24,0,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,44994,21,4,68
Lexus,RX 450h Base,2020,28582,3.5L V6 24V PDI DOHC Hybrid,3.5,Automatic CVT,1,Hybrid,Four-wheel Drive,18,24,0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,45000,21,5,91
Nissan,Titan Platinum Reserve,2017,82003,5.6L V8 32V GDI DOHC,5.6,7-Speed Automatic,1,Gasoline,Four-wheel Drive,13,18,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,32903,15.5,8,75
Mercedes-Benz,GLC 300 Base 4MATIC,2019,60602,2.0L I4 16V GDI DOHC Turbo,2,9-Speed Automatic,1,Gasoline,Four-wheel Drive,25,34,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,28200,29.5,6,79
Kia,Seltos S,2021,25782,2.0L I4 16V MPFI DOHC,2,Automatic CVT,1,Gasoline,Four-wheel Drive,19,24,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,23500,21.5,4,82
Lexus,LX 570 570,2018,33343,5.7L V8 32V MPFI DOHC,5.7,8-Speed Automatic,1,Gasoline,Four-wheel Drive,20.92617980490377,27.91642499340891,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,61997,24.42130239915634,7,
Land,Rover Range Rover Evoque HSE Dynamic,2017,44145,2.0L I4 16V GDI DOHC Turbo,2,9-Speed Automatic,1,Gasoline,Four-wheel Drive,19,23,1,0,1,1,1,0,1,0,0,1,1,1,0,1,0,1,28498,21,8,
MINI,Cooper S Base,2012,109769,"1.6L I-4 gasoline direct injection, DOHC, variable valve control",1.6,Manual 6-Speed,0,Gasoline,Front-wheel Drive,20.92617980490377,27.91642499340891,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,14991,24.42130239915634,13,
Kia,Sorento LX,2021,50000,2.5L I4 16V PDI DOHC,2.5,8-Speed Automatic,1,Gasoline,Front-wheel Drive,18,24,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,31988,21,4,74
Mazda,CX-5 Grand Touring,2019,34309,2.5L I4 16V GDI DOHC,2.5,6-Speed Automatic,1,Gasoline,Front-wheel Drive,20.92617980490377,27.91642499340891,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,24000,24.42130239915634,6,81
Volkswagen,Arteon 2.0T SEL R-Line,2021,38968,2.0L I4 16V GDI DOHC Turbo,2,8-Speed Automatic,1,Gasoline,Front-wheel Drive,21,31,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,25339,26,4,
FIAT,500C Pop,2012,88272,1.4L I4 16V MPFI SOHC,1.4,5-Speed Manual,0,Gasoline,Front-wheel Drive,30,38,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,9500,34,13,
Lexus,RX 350 Base,2016,89710,3.5L V6 24V GDI DOHC,3.5,8-Speed Automatic,1,Gasoline,Front-wheel Drive,22,32,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,27795,27,9,84
Nissan,NV200 S,2021,38132,2.0L I4 16V MPFI DOHC,2,Automatic CVT,1,Gasoline,Front-wheel Drive,30,37,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,21658,33.5,4,
Audi,S5 4.2 Prestige quattro,2011,115557,4.2L V8 32V GDI DOHC,4.2,6-Speed Automatic,1,Gasoline,Four-wheel Drive,16,24,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,16928,20,14,
Jeep,Wrangler Unlimited Rubicon,2009,57472,3.8L V6 12V MPFI OHV,3.8,4-Speed Automatic,1,Gasoline,Four-wheel Drive,22,31,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,23047,26.5,16,72
Cadillac,Eldorado Touring,1999,46081,4.6L V8 32V MPFI DOHC,4.6,4-Speed Automatic,1,Gasoline,Front-wheel Drive,18,26,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,12995,22,26,
Land,Rover LR3 HSE,2005,55619,4.4L V8 32V MPFI DOHC,4.4,6-Speed Automatic,1,Gasoline,Four-wheel Drive,18,24,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,25000,21,20,
BMW,X3 M Competition,2020,35332,3.0L I6 24V GDI DOHC Twin Turbo,3,8-Speed Automatic,1,Gasoline,Four-wheel Drive,14,19,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,57831,16.5,5,80
Toyota,Tundra Hybrid 1794 Edition,2022,9213,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,3.5,10-Speed Automatic,1,Hybrid,Four-wheel Drive,20.92617980490377,27.91642499340891,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,67100,24.42130239915634,3,70
Maserati,Ghibli Base,2020,52290,3.0L V6 24V GDI DOHC Twin Turbo,3,8-Speed Automatic,1,Gasoline,Rear-wheel Drive,16,24,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,32499,20,5,
Nissan,Murano CrossCabriolet Base,2014,45773,"3.5L V-6 DOHC, variable valve control, engine with 265HP",3.5,Automatic,1,Gasoline,Four-wheel Drive,23,30,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,18900,26.5,11,83
MINI,Clubman Cooper ALL4,2017,91271,1.5L I3 12V GDI DOHC Turbo,1.5,8-Speed Automatic,1,Gasoline,Four-wheel Drive,23,31,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,16988,27,8,77
Mitsubishi,Eclipse Spyder GS-T,1999,37029,2.0L I4 16V MPFI DOHC Turbo,2,5-Speed Manual,0,Gasoline,Front-wheel Drive,23,29,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,29955,26,26,
Jeep,Wrangler Unlimited Sport,2015,63726,3.6L V6 24V MPFI DOHC,3.6,5-Speed Automatic,1,Gasoline,Four-wheel Drive,17,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,26991,18.5,10,78
Ford,F-150 XL,2021,86897,5.0L V8 32V PDI DOHC,5,10-Speed Automatic,1,Gasoline,Four-wheel Drive,19,22,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,36493,20.5,4,71
Maserati,Ghibli S,2019,10785,3.0L V6,3,8-Speed Automatic,1,Gasoline,Rear-wheel Drive,16,22,0,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,42490,19,6,
Hyundai,Palisade Calligraphy,2021,14554,Regular Unleaded V-6 3.8 L/231,3.8,Automatic,1,Gasoline,Four-wheel Drive,20.92617980490377,27.91642499340891,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,46898,24.42130239915634,4,73
Audi,S4 3.0T Premium Plus,2016,81885,3.0L V6 24V GDI DOHC Supercharged,3,7-Speed Automatic with Auto-Shift,1,Gasoline,Four-wheel Drive,18,28,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,23496,23,9,
BMW,X7 xDrive40i,2020,47586,3.0L I6 24V GDI DOHC Turbo,3,8-Speed Automatic,1,Gasoline,Four-wheel Drive,20,25,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,56393,22.5,5,71
MINI,Clubman Cooper S ALL4,2020,28395,2.0L I4 16V GDI DOHC Turbo,2,8-Speed Automatic,1,Gasoline,Four-wheel Drive,26,32,1,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,26977,29,5,
Volkswagen,Passat 1.8T R-Line,2016,58908,1.8L I4 16V GDI DOHC Turbo,1.8,6-Speed Automatic,1,Gasoline,Front-wheel Drive,17,23,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,16999,20,9,86
Cadillac,XT4 Sport,2019,44310,2.0L I4 16V GDI DOHC Turbo,2,9-Speed Automatic,1,Gasoline,Four-wheel Drive,20.92617980490377,27.91642499340891,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,0,31700,24.42130239915634,6,79
Chevrolet,Equinox Premier,2021,21832,1.5L I4 16V GDI DOHC Turbo,1.5,6-Speed Automatic,1,Gasoline,Front-wheel Drive,26,31,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,29993,28.5,4,92
Volvo,V60 Cross Country T5,2018,61053,2.0L I4 16V GDI DOHC Turbo,2,8-Speed Automatic,1,Gasoline,Four-wheel Drive,22,31,1,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0,21999,26.5,7,
Audi,S3 2.0T Premium Plus,2019,26537,2.0L I4 16V GDI DOHC Turbo,2,7-Speed Automatic with Auto-Shift,1,Gasoline,Four-wheel Drive,22,29,1,0,1,0,1,0,0,1,1,1,1,0,1,1,0,1,38719,25.5,6,
Maserati,Ghibli S Q4,2015,44770,3.0L V6 24V GDI DOHC Twin Turbo,3,8-Speed Automatic,1,Gasoline,Four-wheel Drive,17,24,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,24900,20.5,10,
Ford,Ranger Lariat,2022,12105,2.3L I4 16V GDI DOHC Turbo,2.3,10-Speed Automatic,1,Gasoline,Four-wheel Drive,19,24,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,42580,21.5,3,86
Alfa,Romeo Stelvio Base,2019,24741,2.0L I4 16V GDI SOHC Turbo,2,8-Speed Automatic,1,Gasoline,Four-wheel Drive,22,28,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,29998,25,6,
Mitsubishi,Outlander Sport 2.0 SE,2020,62488,2.0L I4 16V MPFI DOHC,2,Automatic CVT,1,Gasoline,Four-wheel Drive,25,28,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,18798,26.5,5,
Toyota,4Runner TRD Pro,2020,40709,4.0L V6 24V MPFI DOHC,4,5-Speed Automatic,1,Gasoline,Four-wheel Drive,16,19,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,52799,17.5,5,85
FIAT,124 Spider Abarth,2018,26191,1.4L I4 16V MPFI SOHC Turbo,1.4,6-Speed Automatic,1,Gasoline,Rear-wheel Drive,26,35,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,25900,30.5,7,
Porsche,Cayenne S,2017,85579,3.6L V6 24V GDI DOHC Twin Turbo,3.6,8-Speed Automatic,1,Gasoline,Four-wheel Drive,15,19,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,40587,17,8,80
Audi,allroad 2.0T Prestige,2016,70899,2.0L I4 16V GDI DOHC Turbo Flexible Fuel,2,8-Speed Automatic,1,E85 Flex Fuel,Four-wheel Drive,21,28,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,20000,24.5,9,
Mercedes-Benz,SL-Class 2dr Roadster 5.5L V8,2009,78387,"5.5L V-8 DOHC, variable valve control, engine with 382HP",5.5,Automatic,1,Gasoline,Rear-wheel Drive,13,18,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,25888,15.5,16,
Toyota,Tundra SR5,2016,201054,5.7L 8-Cylinder SMPI DOHC,5.7,6-Speed Automatic Electronic with Overdrive,1,Gasoline,Four-wheel Drive,13,17,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,21793,15,9,
Audi,Q7 55 Premium Plus,2020,60255,3.0L V6 24V GDI DOHC Turbo,3,7-Speed Automatic,1,Gasoline,Four-wheel Drive,17,21,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,39077,19,5,
Nissan,Murano SV,2021,21036,3.5L V6 24V MPFI DOHC,3.5,Automatic CVT,1,Gasoline,Front-wheel Drive,14,19,0,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,29775,16.5,4,
FIAT,500L Lounge,2014,99154,1.4L I4 16V MPFI SOHC Turbo,1.4,6-Speed Automatic with Auto-Shift,1,Gasoline,Front-wheel Drive,24,33,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,11895,28.5,11,57
MINI,Coupe John Cooper Works,2014,64608,1.6L I4 16V GDI DOHC Turbo,1.6,6-Speed Automatic,1,Gasoline,Front-wheel Drive,21,31,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,15977,26,11,
Porsche,Panamera 4S,2018,76409,2.9L V6 24V GDI DOHC Twin Turbo,2.9,8-Speed Automatic with Auto-Shift,1,Gasoline,Four-wheel Drive,13,19,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,54777,16,7,81
Jaguar,F-TYPE S,2015,49986,3.0L V6 24V GDI DOHC Supercharged,3,8-Speed Automatic,1,Gasoline,Rear-wheel Drive,18,27,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,35888,22.5,10,
Alfa,Romeo Giulia Base,2021,17326,2.0L I4 16V GDI SOHC Turbo,2,8-Speed Automatic,1,Gasoline,Rear-wheel Drive,22,29,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,28500,25.5,4,
Jaguar,F-PACE P340 S,2021,13160,3.0L I6 24V GDI DOHC Turbo,3,8-Speed Automatic,1,Gasoline,Four-wheel Drive,21,28,1,0,1,1,1,0,1,1,0,1,1,0,0,1,0,0,48995,24.5,4,
Hyundai,Santa Fe Limited,2017,68994,3.3L V6 24V GDI DOHC,3.3,6-Speed Automatic,1,Gasoline,Front-wheel Drive,21,27,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,21295,24,8,
Volkswagen,Golf GTI 2.0T SE,2022,15522,2.0L I4 16V GDI DOHC Turbo,2,6-Speed Manual,0,Gasoline,Front-wheel Drive,25,36,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,33698,30.5,3,
Porsche,718 Boxster Base,2017,47148,2.0L H4 16V GDI DOHC Turbo,2,7-Speed Automatic with Auto-Shift,1,Gasoline,Rear-wheel Drive,17,24,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,46950,20.5,8,
Hyundai,Sonata Limited,2011,82750,2.4L I4 16V GDI DOHC,2.4,6-Speed Automatic,1,Gasoline,Front-wheel Drive,30,33,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,15998,31.5,14,74
Cadillac,XT4 Sport,2020,19623,2.0L I4 16V GDI DOHC Turbo,2,9-Speed Automatic,1,Gasoline,Front-wheel Drive,14,25,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,35257,19.5,5,83
Cadillac,CT6 Luxury,2019,26444,3.6L V6 24V GDI DOHC,3.6,10-Speed Automatic,1,Gasoline,Four-wheel Drive,18,27,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,41687,22.5,6,
